1234 ____;5567 XXX_;5686 XOO_;5568 XXO_;5867 XXXX;;;
1234 ____;5567 XXX_;5686 XOO_;5568 XXXX;;;;
1234 ____;5567 XXX_;5686 XX__;5587 XXXX;;;;
1234 ____;5567 XXX_;5686 XXO_;5566 XXO_;5667 XXXX;;;
1234 ____;5567 XXX_;5686 XXO_;5566 XXXX;;;;
1234 ____;5567 XXXX;;;;;;
1234 O___;5566 ____;1778 O___;2882 ____;4447 XXXX;;;
1234 O___;5566 ____;1778 O___;2882 X___;3383 XXXX;;;
1234 O___;5566 ____;1778 O___;2882 XO__;8383 XXXX;;;
1234 O___;5566 ____;1778 O___;2882 XX__;3883 XXX_;8883 XXXX;;
1234 O___;5566 ____;1778 O___;2882 XX__;3883 XXXX;;;
1234 O___;5566 ____;1778 O___;2882 XXOO;8822 XXXX;;;
1234 O___;5566 ____;1778 O___;2882 XXX_;2822 XX__;8882 XXXX;;
1234 O___;5566 ____;1778 O___;2882 XXX_;2822 XXXX;;;
1234 O___;5566 ____;1778 O___;2882 XXXX;;;;
1234 O___;5566 ____;1778 OO__;2387 O___;7111 XX__;8811 XXXX;;
1234 O___;5566 ____;1778 OO__;2387 O___;7111 XXX_;8111 XXXX;;
1234 O___;5566 ____;1778 OO__;2387 O___;7111 XXXX;;;
1234 O___;5566 ____;1778 OO__;2387 OOO_;7822 XXXX;;;
1234 O___;5566 ____;1778 OO__;2387 X___;8181 ____;7447 XXXX;;
1234 O___;5566 ____;1778 OO__;2387 X___;8181 XXX_;8881 XXXX;;
1234 O___;5566 ____;1778 OO__;2387 X___;8181 XXXX;;;
1234 O___;5566 ____;1778 OO__;2387 XO__;4847 XXOO;8447 XXXX;;
1234 O___;5566 ____;1778 OO__;2387 XO__;4847 XXX_;8847 XXXX;;
1234 O___;5566 ____;1778 OO__;2387 XO__;4847 XXXX;;;
1234 O___;5566 ____;1778 OO__;2387 XOO_;7882 XOOO;8827 XXXX;;
1234 O___;5566 ____;1778 OO__;2387 XOO_;7882 XXX_;7883 XXXX;;
1234 O___;5566 ____;1778 OO__;2387 XOO_;7882 XXXX;;;
1234 O___;5566 ____;1778 OO__;2387 XX__;4887 XXOO;8487 XXXX;;
1234 O___;5566 ____;1778 OO__;2387 XX__;4887 XXX_;4487 XXXX;;
1234 O___;5566 ____;1778 OO__;2387 XX__;4887 XXXX;;;
1234 O___;5566 ____;1778 OO__;2387 XXO_;2827 OO__;7383 XXXX;;
1234 O___;5566 ____;1778 OO__;2387 XXO_;2827 XX__;3887 XXXX;;
1234 O___;5566 ____;1778 OO__;2387 XXO_;2827 XXXX;;;
1234 O___;5566 ____;1778 OO__;2387 XXX_;2887 XX__;3387 XXXX;;
1234 O___;5566 ____;1778 OO__;2387 XXX_;2887 XXO_;8387 XXXX;;
1234 O___;5566 ____;1778 OO__;2387 XXX_;2887 XXXX;;;
1234 O___;5566 ____;1778 OOO_;7181 OOO_;8817 XXXX;;;
1234 O___;5566 ____;1778 OOO_;7181 XO__;7827 XXX_;7847 XXXX;;
1234 O___;5566 ____;1778 OOO_;7181 XO__;7827 XXXX;;;
1234 O___;5566 ____;1778 OOO_;7181 XOOO;8117 XXXX;;;
1234 O___;5566 ____;1778 OOO_;7181 XX__;7387 XXX_;7487 XXXX;;
1234 O___;5566 ____;1778 OOO_;7181 XX__;7387 XXXX;;;
1234 O___;5566 ____;1778 OOO_;7181 XXO_;7117 XX__;8187 XXXX;;
1234 O___;5566 ____;1778 OOO_;7181 XXO_;7117 XXXX;;;
1234 O___;5566 ____;1778 OOO_;7181 XXOO;7811 XXXX;;;
1234 O___;5566 ____;1778 OOO_;7181 XXX_;7881 XXXX;;;
1234 O___;5566 ____;1778 OOO_;7181 XXXX;;;;
1234 O___;5566 ____;1778 OOOO;7187 XXOO;7817 XXXX;;;
1234 O___;5566 ____;1778 OOOO;7187 XXXX;;;;
1234 O___;5566 ____;1778 X___;8344 ____;2722 XXXX;;;
1234 O___;5566 ____;1778 X___;8344 O___;2828 XXX_;2888 XXXX;;
1234 O___;5566 ____;1778 X___;8344 O___;2828 XXXX;;;
1234 O___;5566 ____;1778 X___;8344 OO__;3888 XXX_;4888 XXXX;;
1234 O___;5566 ____;1778 X___;8344 OO__;3888 XXXX;;;
1234 O___;5566 ____;1778 X___;8344 OOO_;4488 XXXX;;;
1234 O___;5566 ____;1778 X___;8344 X___;3373 ____;8828 XXXX;;
1234 O___;5566 ____;1778 X___;8344 X___;3373 XXXX;;;
1234 O___;5566 ____;1778 X___;8344 XO__;3388 XX__;8488 XXXX;;
1234 O___;5566 ____;1778 X___;8344 XO__;3388 XXXX;;;
1234 O___;5566 ____;1778 X___;8344 XOO_;4448 XXX_;4848 XXXX;;
1234 O___;5566 ____;1778 X___;8344 XOO_;4448 XXXX;;;
1234 O___;5566 ____;1778 X___;8344 XX__;8388 XXO_;8848 XXXX;;
1234 O___;5566 ____;1778 X___;8344 XX__;8388 XXXX;;;
1234 O___;5566 ____;1778 X___;8344 XXO_;8448 XXXX;;;
1234 O___;5566 ____;1778 XO__;7388 O___;2727 XO__;4477 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 O___;2727 XX__;4747 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 O___;2727 XXXX;;;
1234 O___;5566 ____;1778 XO__;7388 OO__;2872 XOOO;8722 XXXX;;
1234 O___;5566 ____;1778 XO__;7388 OO__;2872 XXXX;;;
