7171 XXOO;7113 OOO_;1771 XXXX;;;;;;;
2377 ____;1544 XXO_;5654 XX__;1854 XXX_;1154 XXXX;;;;;
2377 X___;7345 ____;8811 XX__;1161 XXO_;2111 XXXX;;;;;
2377 XXO_;3276 XX__;3453 ____;1865 X___;1277 XXXX;;;;;
2377 O___;4653 OOOO;3465 XXOO;3564 OOOO;6435 XXXX;;;;;
2377 OOO_;7232 XXOO;7223 XXXX;;;;;;;
1177 ____;8282 XOO_;2688 XX__;4251 XX__;2258 XXXX;;;;;
1177 X___;3674 ____;1887 XX__;1282 XXO_;1852 XXXX;;;;;
1177 XX__;5778 X___;1473 X___;2762 ____;1118 XXX_;1188 XXXX;;;;
1177 XXO_;7172 XX__;5844 ____;3171 XXX_;6171 XXXX;;;;;
1177 XXOO;7137 OOO_;1771 XXXX;;;;;;;
8348 ____;1522 XOO_;5152 XX__;2652 XX__;2172 XXX_;2112 XXXX;;;;
8348 X___;2847 X___;1455 ____;7736 X___;2332 XXX_;2333 XXXX;;;;
8348 XOO_;8433 XX__;7683 XX__;6172 ____;8583 XXX_;8883 XXXX;;;;
7654 X___;2211 ____;8843 X___;6377 X___;3353 XXX_;5353 XXXX;;;;
7171 ____;8448 ____;2565 XO__;3553 XOO_;3325 XXOO;3235 XXXX;;;;
2377 ____;8166 XOO_;1861 XX__;6461 XX__;6868 XXX_;6865 XXXX;;;;
1177 ____;8855 ____;3364 XXO_;2363 XXO_;4362 XOO_;2334 XXXX;;;;
8348 ____;6675 XO__;5571 XX__;5272 XXOO;2572 XXXX;;;;;
8348 X___;6847 ____;5522 XX__;2221 XOO_;1322 XXXX;;;;;
7654 ____;2832 XOO_;3382 XXX_;3182 XX__;3322 XXXX;;;;;
7654 X___;2121 XX__;3422 XX__;2622 XX__;3621 XXXX;;;;;
7654 XOO_;5757 X___;7646 XX__;3882 ____;5641 XXXX;;;;;
7654 OO__;3465 XX__;8145 ____;6723 OOOO;3267 XXXX;;;;;
7171 ____;4242 XO__;4345 X___;4268 OOOO;2846 XXXX;;;;;
7171 X___;8146 X___;6573 XOO_;3672 XXOO;3276 XXXX;;;;;
7171 XX__;6118 X___;2173 XOO_;8252 ____;7134 XXXX;;;;;
7171 XXO_;1671 XXX_;2338 ____;1471 XXX_;1571 XXXX;;;;;
2377 ____;5458 OOO_;4865 XXO_;4185 XOOO;1845 XXXX;;;;;
2377 X___;7356 X___;3814 XOO_;3413 XXOO;4313 XXXX;;;;;
2377 OOO_;3723 XX__;2621 ____;4653 XX__;7753 XXXX;;;;;
1177 ____;2626 XOO_;3662 XX__;1257 X___;2262 XXXX;;;;;
1177 X___;1832 XX__;4352 OOO_;1435 XXOO;1534 XXXX;;;;;
1177 XX__;7672 X___;4178 XXO_;8175 XOOO;1578 XXXX;;;;;
1177 XXO_;1778 XXX_;3653 ____;1772 XXX_;1774 XXXX;;;;;
1177 XO__;1213 ____;7455 X___;8787 OOOO;7878 XXXX;;;;;
8348 XX__;6138 X___;4274 XX__;8278 XXXX;;;;;;
8348 XXX_;3248 XX__;8451 XX__;8448 XXXX;;;;;;
7654 XX__;7842 ____;6116 OOO_;1651 XXXX;;;;;;
7654 XO__;1684 ____;7533 XXOO;7335 XXXX;;;;;;
7654 XOO_;5544 XXO_;5474 XXOO;4574 XXXX;;;;;;
7654 OOO_;3767 XXX_;3567 XXOO;3765 XXXX;;;;;;
7171 X___;7256 XXOO;7525 OOO_;5276 XXXX;;;;;;
7171 XX__;7257 XXX_;7277 XX__;7251 XXXX;;;;;;
7171 XXX_;8771 XX__;1145 XX__;1171 XXXX;;;;;;
7171 XO__;2113 XOOO;1132 OOOO;3211 XXXX;;;;;;
2377 XX__;1757 XXX_;1357 XX__;1777 XXXX;;;;;;
1177 X___;3124 XXOO;2132 OOO_;1324 XXXX;;;;;;
1177 XX__;1218 XOO_;1521 XOOO;1152 XXXX;;;;;;
1177 XO__;6131 XOOO;1361 OOOO;3116 XXXX;;;;;;
8348 ____;6122 OO__;1671 XOO_;1567 XOOO;5617 OOOO;1756 XXXX;;;;
7654 X___;2332 ____;6811 XOO_;8661 XXX_;1661 XX__;8681 XXXX;;;;
7171 ____;6886 ____;2254 XOO_;5245 XXO_;4235 XOO_;2445 XXXX;;;;
2377 ____;5165 XO__;1861 XX__;1464 XXX_;1664 XXOO;1466 XXXX;;;;
1177 ____;8558 ____;6634 XOO_;3643 OOO_;4364 XXX_;2364 XXXX;;;;
8348 ____;5717 XOO_;1157 XXX_;1522 X___;1177 XXXX;;;;;
8348 XX__;5868 XX__;5213 X___;7436 X___;5448 XXXX;;;;;
7654 ____;1882 XOO_;2811 OOO_;8132 XOOO;1238 XXXX;;;;;
7654 X___;3838 ____;1521 XX__;2261 OOO_;1626 XXXX;;;;;
7654 XX__;3724 X___;8641 X___;2556 XX__;3656 XXXX;;;;;
7654 OOO_;2577 XX__;6278 X___;6831 ____;4575 XXXX;;;;;
7171 ____;2882 X___;3442 XXX_;5463 XOO_;3452 XXXX;;;;;
7171 X___;2576 ____;1881 XOO_;4888 XXX_;4188 XXXX;;;;;
7171 XX__;1156 X___;7128 XXX_;8422 XX__;7122 XXXX;;;;;
7171 XO__;2611 ____;3735 XXX_;7735 XXOO;3775 XXXX;;;;;
2377 ____;6844 ____;1161 XO__;1524 XX__;1515 XXXX;;;;;
2377 X___;2754 XX__;1852 XOO_;5251 XOOO;2155 XXXX;;;;;
2377 XX__;7487 ____;6625 OOO_;2366 XXX_;2356 XXXX;;;;;
2377 OOO_;3723 XX__;4228 ____;2816 X___;7713 XXXX;;;;;
1177 ____;2323 XX__;4352 XXO_;5628 XOO_;2358 XXXX;;;;;
1177 X___;8437 ____;1558 XXO_;1565 XXO_;1255 XXXX;;;;;
1177 XX__;7687 ____;4451 OOO_;1144 XXX_;1145 XXXX;;;;;
1177 OOO_;1713 XX__;5668 ____;7712 XXX_;7714 XXXX;;;;;
8348 X___;6387 O___;7426 ____;8151 XXOO;8511 OOOO;1158 XXXX;;;;
7654 X___;2233 X___;7638 XX__;1737 XX__;1631 XXX_;1636 XXXX;;;;
7171 ____;4488 X___;4266 XOO_;2456 XXX_;2426 XXX_;2436 XXXX;;;;
7171 X___;8153 X___;7234 XO__;7658 ____;4124 XXOO;2144 XXXX;;;;
1177 ____;8383 ____;5262 XOO_;6652 XO__;2542 XOOO;2254 XXXX;;;;
8348 X___;7845 ____;6611 OOO_;1366 XXXX;;;;;;
8348 XX__;5188 XX__;5783 XXO_;5748 XXXX;;;;;;
8348 XXX_;4338 XX__;1485 X___;8388 XXXX;;;;;;
8348 XXO_;8437 XX__;6415 XX__;8418 XXXX;;;;;;
7654 XX__;7285 XX__;4381 XXO_;7384 XXXX;;;;;;
7654 XOO_;7766 X___;4655 XOOO;5456 XXXX;;;;;;
7654 OOO_;3775 XXO_;4735 XXOO;4375 XXXX;;;;;;
7171 ____;4224 OOO_;2248 XXX_;2448 XXXX;;;;;;
7171 XX__;7437 OOO_;4371 XOOO;3174 XXXX;;;;;;
7171 XXX_;2771 XX__;5284 X___;5171 XXXX;;;;;;
7171 XXO_;1671 XX__;4281 XX__;4771 XXXX;;;;;;
7171 XO__;4115 XXOO;1145 XOOO;5114 XXXX;;;;;;
2377 X___;7351 ____;6464 OOO_;2646 XXXX;;;;;;
2377 XXX_;2637 XXX_;2677 XX__;2337 XXXX;;;;;;
1177 ____;2828 OOO_;2284 XXX_;8284 XXXX;;;;;;
1177 X___;1458 XX__;8436 XXX_;1436 XXXX;;;;;;
1177 XX__;1315 XXO_;6485 XX__;1185 XXXX;;;;;;
1177 XO__;7475 XXOO;4775 XOOO;7574 XXXX;;;;;;
8348 ____;2116 XOO_;6612 XO__;5211 OOOO;1152 XXXX;;;;;
8348 X___;6382 XX__;3512 XXO_;1517 XX__;1312 XXXX;;;;;
8348 XX__;6418 OOO_;7635 ____;8241 XXO_;8144 XXXX;;;;;
8348 XO__;4588 OOO_;8654 OOOO;5846 XXOO;6845 XXXX;;;;;
8348 O___;4267 ____;1581 XXOO;5181 XXOO;1185 XXXX;;;;;
7654 ____;2811 XOO_;8212 XOO_;8321 XX__;1221 XXXX;;;;;
7654 X___;1122 XX__;2682 X___;7132 X___;1184 XXXX;;;;;
7654 XX__;7248 ____;5336 OO__;2211 ____;6655 XXXX;;;;;
