6645 X___;1444 XXO_;4442 XOO_;2144 XXXX;;;;;;
2323 XO__;1253 XXO_;1533 OO__;2251 XXXX;;;;;;
3344 XO__;6234 XXO_;2134 XX__;5634 XXXX;;;;;;
4554 XO__;6541 XXO_;1542 XXO_;2546 XXXX;;;;;;
2311 OO__;4234 XXX_;4232 XX__;4134 XXXX;;;;;;
3224 OO__;2563 XXX_;2513 XXO_;2163 XXXX;;;;;;
6346 OO__;4565 XXX_;4535 XXO_;3565 XXXX;;;;;;
6645 OO__;3354 XXO_;3514 OOOO;4351 XXXX;;;;;;
6543 XO__;3342 XXX_;3442 XXOO;4342 XXXX;;;;;;
2535 O___;6266 XXO_;3666 XXO_;6656 XXXX;;;;;;
3224 O___;2151 OOO_;5512 XXO_;1562 XXXX;;;;;;
3224 XXX_;3244 XX__;3222 XXO_;2224 XXXX;;;;;;
6346 XXX_;6344 XX__;6366 XXO_;6646 XXXX;;;;;;
2311 XXO_;4321 XOO_;6312 OOOO;2631 XXXX;;;;;;
2535 XXO_;6235 XOO_;2345 OOOO;4532 XXXX;;;;;;
3224 XXO_;3425 XOO_;1324 XO__;5223 XXXX;;;;;;
6346 XXO_;3246 XOO_;4356 OOOO;6543 XXXX;;;;;;
6645 XXO_;4635 XOO_;5641 OO__;6365 XXXX;;;;;;
6543 XXO_;6445 XOO_;6554 XX__;3544 XXXX;;;;;;
2311 ____;4445 XOO_;6454 XXO_;4554 XXXX;;;;;;
2535 ____;6114 XX__;6644 XXOO;6464 XXXX;;;;;;
3224 ____;1656 XX__;5556 XO__;1155 XXXX;;;;;;
6346 ____;5515 XOO_;5251 XOO_;1155 XXXX;;;;;;
6645 ____;1311 XOO_;2131 XXO_;1133 XXXX;;;;;;
2311 XOO_;1613 OOO_;5131 XXO_;3141 XXXX;;;;;;
3224 XOO_;2425 OOO_;1242 XO__;4253 XXXX;;;;;;
6645 XOO_;5634 XX__;1664 XOO_;5616 XXXX;;;;;;
2323 OO__;5532 OO__;3214 XXOO;3241 XXXX;;;;;;
4554 OO__;2442 ____;5615 XXOO;5165 XXXX;;;;;;
6543 XX__;4542 ____;6313 XX__;6663 XXXX;;;;;;
6346 XX__;6355 O___;2446 XXOO;4246 XXXX;;;;;;
2323 XX__;2625 ____;3343 XXOO;4333 XXXX;;;;;;
4554 XX__;3551 ____;4624 XXOO;4264 XXXX;;;;;;
6543 XOO_;6635 OOO_;3516 XXO_;3562 XXXX;;;;;;
6543 OOO_;2354 XXO_;3154 XXX_;3454 XXXX;;;;;;
2535 X___;4131 XXX_;4136 XXOO;4631 XXXX;;;;;;
3224 X___;3651 OOO_;5216 OOO_;1564 XXXX;;;;;;
6645 X___;2155 XXX_;2115 XXO_;1155 XXXX;;;;;;
2323 XO__;1133 XOO_;3513 XOO_;3331 XXXX;;;;;;
3344 XO__;3663 XOO_;6353 OOOO;3536 XXXX;;;;;;
2311 OO__;5152 OOO_;1526 XXX_;1524 XXXX;;;;;;
2535 OO__;1152 OOO_;5311 XXO_;3211 XXXX;;;;;;
6346 OO__;2623 XXO_;2631 XXX_;2635 XXXX;;;;;;
